Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
BioCredit,https://www.crunchbase.com/organization/biocredit,"Biometrics, Credit, Financial Services, FinTech, Internet","Bogotá, Distrito Especial, Colombia","BioCredit is the first platform of its kind, which connects people.","28,894",Latin America,Less than $1M,Active,06/01/2017,day,,,,,For Profit,https://www.bio.credit,https://twitter.com/BioCredit,https://www.facebook.com/BioCreditColombia/,https://www.linkedin.com/company/biocredit,oscar@bio.credit,5.73134E+11,5,,"BioCredit is an app that connects to people with credit needs with multiple credit borrowers, like Banks, Financial Companies, Fintech, Coops, and more. In another hand, we work with many retails/stores for to get credit for their clients through our platform, and allow that thousand of commerce can be growth their sales thanks to BioCredit :)",,,,,,,,,,,,,,"Biotechnology, Data and Analytics, Financial Services, Internet Services, Lending and Investments, Science and Engineering",2,"Cesar Aldana Echeverry, Oscar Gutierrez Moreno",Nov-50,3,Seed,01/03/2020,1200000,USD,1200000,Seed,1200000,USD,1200000,Seed,1820000,USD,1820000,1820000,USD,1820000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,"30,002",52,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
doc-doc,https://www.crunchbase.com/organization/doc-doc,"Health Care, Health Insurance, InsurTech, Medical","Bogotá, Distrito Especial, Colombia",doc-doc is a Primary health care telemedicine service focused on specialists.,"29,826",Latin America,$1M to $10M,Active,01/01/2019,year,,,,,For Profit,http://www.doc-doc.com,http://twitter.com/docdoc_app,https://www.facebook.com/app.docdoc/,https://www.linkedin.com/company/docdoc-app,Hola@doc-doc.com,(311) 848-7080,,,"doc-doc is a HealthTech company that provides: A Digital-Insurance for patients that can Access in seconds to Top Medical Specialists, Psychologist, Nutritionists, Coaches, E-Pharmacy, and Exams; Wellness Benefits for Companies that want to see their employees healthier, happier, and productive; Saas for Hospitals, IPS (Small Hospitals) & Doctors that want to increase their revenue and optimize their operations; Primary-Care Services and Saas for Insurance Companies that want to reduce cost and increase retention of their patients",,,,,,,,,,,,,,"Financial Services, Health Care",1,Gabriel Castillo Szpoganicz,Nov-50,3,Seed,30/09/2020,30000,USD,30000,Pre-Seed,30000,USD,30000,Pre-Seed,530000,USD,530000,530000,USD,530000,"StartUp Health, 500 Startups, Start-Up Chile, Seedstars, Carlos Felipe Gutierrez",3,6,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"30,964",41,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Awake,https://www.crunchbase.com/organization/awake-2fdf,"Adventure Travel, Social Entrepreneurship","Bogotá, Distrito Especial, Colombia",Travel experiences platform that connects nature travelers with local hosts in remote and rural destinations of Colombia.,"30,451",Latin America,,Active,01/05/2013,day,,,,,For Profit,https://awake.travel/,https://twitter.com/Awake_travel,https://www.facebook.com/AwakeAdventures/,https://www.linkedin.com/company/awaketravel/,info@awake.travel,5713795005,3,,"Our purpose is to Inspire and Empower People to Protect Nature, Through Travel We are a community of travelers and hosts deeply concerned about the biodiversity lost in the world That´s why we decided to use tourism as a tool to bring people together, connect and strengthen local hosts and empower them to protect nature. Here you can find great travel experiences in nature and rural destinations, from trekking to whale watching, 4x4 expeditions, birdwatching, cultural immersive experiences with indigenous and local communities, mountaineering or simply contemplate the astonishing views that nature offers. Book directly from local hosts, that will make your trip worth of living, and find an experience that matches your interests, thought just for you: private or very small groups, several comfort levels, different difficulty options and the accommodation you prefer, from a 5 stars eco-lodge to a thousand stars camping site. The best thing is that by traveling with us you boost biodiversity conservation, by empowering local hosts in their efforts to protect nature.",,,,,,,,,,,,,,"Community and Lifestyle, Travel and Tourism",1,Miguel Torres,Nov-50,2,Seed,23/07/2020,500000,USD,500000,Seed,500000,USD,500000,Seed,870000,USD,870000,870000,USD,870000,GRUPO BANCOLOMBIA,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"31,601",44,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
CIVICO,https://www.crunchbase.com/organization/civico-2,"Big Data, Emerging Markets, Local, Location Based Services, Mobile Payments, Small and Medium Businesses","Bogotá, Distrito Especial, Colombia","We map cities and citizens by crowdsourcing location data to drive transactions between consumers, merchants and brands.","30,901",Latin America,$1M to $10M,Active,01/09/2012,month,,,,,For Profit,http://www.civico.com,http://twitter.com/civicobogota,http://www.facebook.com/civicobogota,https://www.linkedin.com/company/civico-com/,info@civico.com,(571) 744-3600,29,,"CÍVICO is a digital company that maps cities and citizens by crowdsourcing location data to drive transactions between consumers, merchants and brands. CÍVICO is currently up and running in México City, Bogotá and Santiago with more than 4 million monthly active users using our apps and web, 1,000,000 crowdsourced places in its database and 50,000 crowdsourcer´s mapping their cities.  From the consumer perspective, we are solving their daily needs in their city by aggregating all their city in a single app. CÍVICO is a multipurpose app where we are building and mapping the most relevant digital information system which includes local places, news, public transport, bicycles, events, movies, deliveries, and much more. From the business perspective, we are understanding real time consumer behavior by mapping daily life in the city and we connect those consumers with key markets in a city. Currently we are focused on 4 key players in a city: merchants/smb´s, banks, brands and government.",,,,,,,,,,,,,,"Data and Analytics, Financial Services, Internet Services, Mobile, Navigation and Mapping, Other, Payments, Sales and Marketing, Software",3,"Juan Carlos Agudelo, Juan Felipe Castaño, Ricardo Pombo",51-100,4,Early Stage Venture,04/03/2019,2000000,USD,2000000,Series A,2000000,USD,2000000,Series A,11700000,USD,11700000,11700000,USD,11700000,"Mastercard, Accion",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"32,059",49,,,15,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
LOGYSTO,https://www.crunchbase.com/organization/vueltap,"E-Commerce, Logistics","Bogotá, Distrito Especial, Colombia",Tech-enabled e-commerce logistics solution,"31,140",Latin America,$1M to $10M,Active,01/01/2017,year,,,,,For Profit,http://www.logysto.co,,,,david@logysto.co,,3,,"LOGYSTO allows brands and retailers to sell up to 30% more by revolutionizing the logistics of its direct e-commerce channels making Amazon-like fulfillment possible through the use of technology and the shared economy. The product cycle encompasses e-commerce logistics across the first, middle and last mile including dark stores/urban mini-hubs for expedited fulfillment services.",,,,,,,,,,,,,,"Commerce and Shopping, Transportation",3,"Camilo Arango, David Arango, Maria Elisa Botero",51-100,3,Seed,31/05/2020,1300000,USD,1300000,Seed,1300000,USD,1300000,Seed,2800000,USD,2800000,2800000,USD,2800000,Condor,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"32,306",13,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Frubana,https://www.crunchbase.com/organization/frubana,"AgTech, B2B, E-Commerce, Logistics, Restaurants","Bogotá, Distrito Especial, Colombia",Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers in LatAm.,"32,289",Latin America,$1M to $10M,Active,01/06/2018,day,,,,,For Profit,http://www.frubana.com,,https://www.facebook.com/frubana/,https://www.linkedin.com/company/frubana/,fabian@frubana.com,,9,,"Frubana is the everything store for restaurants, sourcing directly from farmers and manufacturers. We are building the railways for (small) B2B e-commerce in LatAm.",,,,,,,,,,,,,,"Agriculture and Farming, Commerce and Shopping, Food and Beverage, Other, Transportation",1,Fabian Gomez Gutierrez,101-250,3,Early Stage Venture,25/04/2020,25000000,USD,25000000,Series A,25000000,USD,25000000,Series A,37000000,USD,37000000,37000000,USD,37000000,"SoftBank, GGV Capital, Y Combinator, Kairos AR, Tiger Global Management",3,8,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"33,502",63,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Avianca Holdings,https://www.crunchbase.com/organization/avianca-holdings,Transportation,"Bogotá, Distrito Especial, Colombia","Avianca Holdings SA is a Panamanian company representing integrated several airlines that operate nationally and internationally,","33,483",Latin America,,Active,01/01/2009,year,06/11/2013,day,,,For Profit,http://www.aviancaholdings.com/,http://twitter.com/Avianca,http://www.facebook.com/pages/Avianca-Holdings/518196444910279,http://www.linkedin.com/company/1706321,ir@avianca.com,,47,,"Avianca Holdings SA is a Panamanian company representing integrated several airlines that operate nationally and internationally, for which acts as a holding company operation: Aerovías the Continente Americano SA (Avianca), Tampa Cargo SA incorporated in Colombia, Aerolineas Galapagos SA (AeroGal) incorporated in Ecuador, and the companies of Grupo TACA: TACA International Airlines SA, incorporated in El Salvador, Costa Rican SA (LACSA) Airlines established in Costa Rica, Transmerican Airlines SA incorporated in Peru, National Air Services SA (SANSA) . incorporated in Costa Rica, Aerotaxis The Coastal SA, incorporated in Nicaragua and Islander Investment CA de CV (ISLEÑA) incorporated in Honduras The main investments of the holding include: carriers of passengers, freight and related activities related to air transport services through which provides travel services and engineering services, maintenance and operation of specialized care other carriers.",,,,,,,,,,,,,,Transportation,,,10001+,1,IPO,22/09/2020,2000000000,USD,2000000000,Post-IPO Debt,,,,,,,,2000000000,USD,2000000000,"Citadel, United Airlines",2,2,,,,,,,,,,,,,,Public,06/11/2013,,,408000000,USD,408000000,,,,AVH,https://www.crunchbase.com/ipo/avianca-holdings-ipo--b9605676,NYSE - New York Stock Exchange,,1,"34,742",13,,,11,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Addi,https://www.crunchbase.com/organization/addi,"Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia",Addi is a technology company that provides credit and banking solutions.,"34,010",Latin America,Less than $1M,Active,01/01/2018,year,,,,,For Profit,https://www.addi.com/,https://twitter.com/Addi_col,,https://www.linkedin.com/company/afhinc/,soporte@addi.com,302 411 6293,7,,"Addi is a technology company that provides credit and banking solutions. Addi is headquartered in Bogota, Colombia.",,,,,,,,,,,,,,Financial Services,4,"Daniel Vallejo, Elmer Ortega, Santiago Suarez, Santiago Suarez",Nov-50,5,Early Stage Venture,22/05/2020,15000000,USD,15000000,Series B,15000000,USD,15000000,Series B,31300000,USD,31300000,31300000,USD,31300000,"Andreessen Horowitz, Wayra, Foundation Capital, Village Global, Quona Capital",2,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"35,285",51,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Viva Air,https://www.crunchbase.com/organization/viva-air,"Automotive, Transportation, Travel","Rionegro, Antioquia, Colombia",Viva Air is a Colombian low-cost airline.,"34,726",Latin America,$10M to $50M,Active,01/01/2017,year,,,,,For Profit,https://www.vivaair.com/,,,,,,5,,Viva Air is a Colombian low-cost airline.,,,,,,,,,,,,,,"Transportation, Travel and Tourism",,,501-1000,1,Private Equity,10/05/2019,50000000,USD,50000000,Private Equity,50000000,USD,50000000,Private Equity,50000000,USD,50000000,50000000,USD,50000000,Cartesian Capital Group,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"36,024",44,,,,0,4,,"Transport, packaging and storing",,,,,Colombia,Rionegro,Antioquia,0
LastFood,https://www.crunchbase.com/organization/lastfood,"Food Delivery, Restaurants, Waste Management","Medellín, Antioquia, Colombia",Making food waste sexy,"34,762",Latin America,,Active,01/10/2020,month,,,,,For Profit,https://lastfood.co,,,,info@lastfood.co,,2,,"LastFood is a startup that rescues, prevent, and commercializes unsold food from restaurants, food markets, and bakeries in good conditions and at low prices",,,,,,,,,,,,,,"Food and Beverage, Sustainability, Transportation",1,Miguel Rengifo,01-Oct,1,Seed,13/01/2021,100000,USD,100000,Pre-Seed,100000,USD,100000,Pre-Seed,100000,USD,100000,100000,USD,100000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"36,062",28,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
Fitpal,https://www.crunchbase.com/organization/fitpal,"Fitness, Training, Wellness","Bogotá, Distrito Especial, Colombia",Fitpal is a monthly membership that gives you unlimited access to over 500 fitness studios in Colombia.,"34,928",Latin America,Less than $1M,Active,01/01/2015,year,,,,,For Profit,http://www.fitpal.co,https://www.twitter.com/fitpalcol,https://www.facebook.com/fitpalcolombia,https://co.linkedin.com/company/fitpal-,jtorres@fitpal.co,5.73106E+11,5,,"Subscription based fitness passport for LATAM. We believe that fitness shouldn't have frontiers. We are on a mission to offer unlimited access to any Gyms and Fitness Centers anywhere, anytime.",,,,,,,,,,,,,,"Education, Health Care, Sports",3,"Julian Torres, Santiago Aparicio, Santiago Aparicio",Nov-50,2,,06/08/2018,1000000,USD,1000000,Undisclosed,1000000,USD,1000000,Undisclosed,1000000,USD,1000000,1000000,USD,1000000,"InQlab, Condor",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"36,232",56,2,162,26,,,,,,,,,Colombia,Bogotá,Distrito Especial,1
Melonn,https://www.crunchbase.com/organization/melonn,,"Medellín, Antioquia, Colombia",Melonn enables any retailer to offer an Amazon Prime-like experience to end consumers with its fulfillment & back-end technology services,"37,673",Latin America,,Active,05/11/2020,day,,,,,For Profit,https://www.melonn.com/,,,https://www.linkedin.com/company/melonn,,,,,,,,,,,,,,,,,,,,,,Nov-50,1,Seed,15/01/2021,2200000,USD,2200000,Pre-Seed,2200000,USD,2200000,Pre-Seed,2200000,USD,2200000,2200000,USD,2200000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"39,068",23,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
MUVO,https://www.crunchbase.com/organization/muvo,"Apps, Internet of Things, Ride Sharing, Transportation","Bogotá, Distrito Especial, Colombia",Muvo is the largest dockless e-bike player from Latam,"39,617",Latin America,,Active,01/01/2017,year,,,,,For Profit,https://muvo.bike/?lang=en,https://twitter.com/muvobike,https://www.facebook.com/muvobike/,https://www.linkedin.com/company/muvo/,info@muvobike.com,,2,,"Muvo is a dockless ride-sharing startup from Latin America founded to solve one of the major pain points for people in the region: commuting. Living in a continent full of cities with the worst traffic indexes worldwide and very poor and few transportation alternatives, Muvo rises as a fast, fun, healthy and eco-friendly alternative for commuting.",,,,,,,,,,,,,,"Apps, Internet Services, Software, Transportation",3,"Daniel Otero, Iván Jaramillo, Miguel Ocampo",Nov-50,4,,22/04/2020,2000000,USD,2000000,Corporate Round,2000000,USD,2000000,Corporate Round,2000000,USD,2000000,2000000,USD,2000000,"Tpaga, K50 Ventures, Auteco",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"41,078",28,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Telemetrik,https://www.crunchbase.com/organization/telemetrik,"Industrial, Internet of Things, Marketing Automation","Medellín, Antioquia, Colombia","Telemetrik specializes in the design, development, implementation, commercialization, and operation of IoT solutions.","41,465",Latin America,$1M to $10M,Active,15/09/2006,day,,,,,For Profit,https://telemetrik.co/,,,,,,1,,"Telemetrik is a Colombian company specialized in solutions for telemetry, automation, instrumentation, remote monitoring, and industrial Internet of Things (IIoT). Telemetrik services allow clients to enhance the virtuous cycle of defining, measuring, improving, and achieving investment returns based on sensorization, data capture, telemetry, and the Internet of Things. The company is founded in 2006 and is headquartered in Medellin, Antioquia.",,,,,,,,,,,,,,"Internet Services, Manufacturing, Sales and Marketing, Software",,,Nov-50,1,Early Stage Venture,01/05/2016,1200000000,COP,420675,Series A,1200000000,COP,420675,Series A,1200000000,COP,420675,1200000000,COP,420675,FCP Emprendimiento e Innovación SP,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"42,989",11,,,,1,2,Controlling,Building; repairs,,,,,Colombia,Medellín,Antioquia,0
Ole,https://www.crunchbase.com/organization/ole-d148,"Environmental Engineering, Food Delivery","Villavicencio, Meta, Colombia",Ole is a delivery app which do ecological compensation for every action in the app.,"42,371",Latin America,,Active,01/04/2019,month,,,,,For Profit,https://www.oleapp.co,,https://facebook.com/oleappco,https://www.linkedin.com/company/oleappco,oleredes@gmail.com,5.73208E+11,,,,,,,,,,,,,,,,,"Food and Beverage, Science and Engineering, Sustainability, Transportation",,,01-Oct,1,Seed,04/10/2019,150000000,COP,43461,Pre-Seed,150000000,COP,43461,Pre-Seed,150000000,COP,43461,150000000,COP,43461,Eduardo Ramirez,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"43,931",17,,,,,,,,,,,,Colombia,Villavicencio,Meta,0
Neivor,https://www.crunchbase.com/organization/neivor,Internet,"Bogotá, Distrito Especial, Colombia",Neivor is a fintech company which want to digitalize the administartion and payments made by the residential complexes and buildings .,"42,523",Latin America,,Active,,,,,,,For Profit,https://neivor.com/co/,,https://www.facebook.com/NeivorLatam/,https://www.linkedin.com/company/neivor/,hello@neivor.com,+57 304 420 53 34,,,,,,,,,,,,,,,,,Internet Services,,,Nov-50,1,Seed,18/02/2021,600000,USD,600000,Seed,600000,USD,600000,Seed,600000,USD,600000,600000,USD,600000,"Magma Partners, Kai Schmitz, Miguel Mc Allister, Daniel Bilbao, Rodrigo Sánchez-Ríos",1,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"44,090",,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Mandaos,https://www.crunchbase.com/organization/mandaos,"Automotive, Courier Service, Delivery, Delivery Service, Information Technology, Logistics, Mobile Apps, Outsourcing","Barranquilla, Atlantico, Colombia",Mandaos is a digital platform that connects companies and people with a network of independent messengers,"43,154",Latin America,,Active,01/01/2016,year,,,,,For Profit,https://www.mandaos.co,https://twitter.com/mandaosoficial,https://www.facebook.com/mandaosoficial,https://linkedin.com/company/16189468,info@mandaos.co,5.73005E+11,,,"Mandaos is a company that offers a digital platform that connects companies and people with a large network of independent messengers to solve the shipping logistic in Latin America / Colombia. Through the technological infrastructure (mobile application and web application) the independent messengers can take the services and be tracked, and at the same time our clients create and monitor the services achieving complete control and predictive statistics of delivery times.",,,,,,,,,,,,,,"Administrative Services, Apps, Information Technology, Mobile, Professional Services, Software, Transportation",1,Andres Martinez,01-Oct,5,Seed,15/07/2019,150000000,COP,46913,Seed,150000000,COP,46913,Seed,380000000,COP,125629,380000000,COP,125629,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"44,749",68,,,,,,,,,,,,Colombia,Barranquilla,Atlantico,0
Qinaya,https://www.crunchbase.com/organization/qinaya,"Cloud Data Services, Web Development","Canadá, Cundinamarca, Colombia","Qinaya offers a range of web design and development, SEO, print advertising, and corporate graphic line services.","44,001",Latin America,,Active,,,,,,,For Profit,http://www.qinaya.com.co/,,,,,,,,"Qinaya offers a range of web design and development, SEO, print advertising, and corporate graphic line services.",,,,,,,,,,,,,,"Information Technology, Internet Services, Software",,,,2,Seed,23/02/2021,200000,USD,200000,Seed,200000,USD,200000,Seed,235383,USD,235383,235383,USD,235383,"Wayra, Breakthrough Capital",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"45,617",1,,,,,,,,,,,,Colombia,Canadá,Cundinamarca,0
"Alegra, sistema contable, administrativo y de facturación",https://www.crunchbase.com/organization/alegra-sistema-contable-administrativo-y-de-facturación,"Accounting, Apps, E-Commerce, Internet, Mobile Apps, Software","Medellín, Antioquia, Colombia",www.alegra.com es un eficiente y sencillo Sistema de Administración y facturación en la Nube para pequeñas y medianas empresas.,"44,183",Latin America,,Active,01/01/2013,year,,,,,For Profit,https://www.alegra.com,https://twitter.com/AlegraWeb,https://www.facebook.com/alegraweb/,https://www.linkedin.com/company/alegra/,soporte@alegra.com,,5,,www.alegra.com es un eficiente y sencillo Sistema de Administración y facturación en la Nube para pequeñas y medianas empresas. Cuenta con app disponible en IOS y Android. Ganas tiempo y tranquilidad,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Financial Services, Internet Services, Mobile, Professional Services, Software",,,51-100,1,,21/01/2020,76000,USD,76000,Debt Financing,,,,,,,,76000,USD,76000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"45,803",82,2,"3,894",,,,,,,,,,Colombia,Medellín,Antioquia,0
Autolab,https://www.crunchbase.com/organization/autolab-2,Automotive,"Bogotá, Distrito Especial, Colombia",Autolab is an auto aftermarket platform offering high quality service at scale,"45,297",Latin America,$1M to $10M,Active,01/01/2014,year,,,,,For Profit,http://autolab.com.co/,https://www.twitter.com/conocetucarro,https://www.facebook.com/autolabcolombia?hc_location=timeline,,info@autolab.com.co,(+571)3477030,2,,"As a car owner in Latin America, there are essentially two options for vehicle repair: dealerships which charge exorbitant prices, or informal ""talleres"" (repair shops) which cost less but provide poor service and customer experience. Autolab aims to be the third (and clearly the best) option by creating a brand of auto repair super-centers with expert service and quality customer care, at a price that outcompetes dealerships.",,,,,,,,,,,,,,Transportation,1,Salvador Zepeda,Nov-50,4,Early Stage Venture,01/09/2017,2600000,USD,2600000,Series A,2600000,USD,2600000,Series A,3557000,USD,3557000,3557000,USD,3557000,Polymath Ventures,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"46,957",30,,,15,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Valienta,https://www.crunchbase.com/organization/valienta,"E-Commerce, E-Commerce Platforms, Marketplace, Payments, Retail, Retail Technology, Wholesale","Medellín, Antioquia, Colombia",Valienta is a marketplace that enables social sellers to create their own virtual store and supply it with products from renowned brands.,"46,283",Latin America,Less than $1M,Active,06/01/2020,day,,,,,For Profit,https://valienta.com/,,https://www.facebook.com/valienta.co/,,info@valienta.co,,,,"People has been selling to people for thousands of years.  Valienta is a marketplace and wholesale platform that connects social sellers with brands in LatAm. Through our platform, social sellers are able to create and supply their own virtual stores with products from curated brands which in turn come to Valienta to reach and sell in a channel that sells over USD $80 billion worth of goods. We create simple tech tools, financial terms, data insights and logistics solutions to rejuvenate a channel that allows over 40 million social sellers generate additional income.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Payments, Software",3,"Jose Gabriel Tamura Lara, Juan Camilo Vallejo, Juan Manuel Botero",01-Oct,1,Seed,16/03/2020,200000,USD,200000,Seed,200000,USD,200000,Seed,200000,USD,200000,200000,USD,200000,Y Combinator,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"47,979",12,,,,,,,,,,,,Colombia,Medellín,Antioquia,1
SURA Asset Management,https://www.crunchbase.com/organization/sura-asset-management,Financial Services,"Medellín, Antioquia, Colombia","SURA Asset Management is a company specialized in Savings, Protection and Investment.","46,937",Latin America,$50M to $100M,Active,01/01/2011,year,,,,,For Profit,https://www.sura-am.com,,,https://in.linkedin.com/company/sura-asset-management,contacto@sura-am.com,,,,"SURA Asset Management is a company specialized in Savings, Protection and Investment.",,,,,,,,,,,,,,Financial Services,,,5001-10000,1,Private Equity,24/12/2018,247000000,USD,247000000,Private Equity,247000000,USD,247000000,Private Equity,247000000,USD,247000000,247000000,USD,247000000,Caisse de Depot et Placement du Quebec,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"48,658",51,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
Tranqui,https://www.crunchbase.com/organization/tranqui,"Finance, Financial Services, FinTech","Cali, Valle del Cauca, Colombia",Tranqui is a digital financial advisor that combines technology with financial planning to help people make better financial decisions.,"47,378",Latin America,$1M to $10M,Active,01/01/2017,year,,,,,For Profit,https://tranquifinanzas.com/,https://twitter.com/TranquiFinanzas,https://www.facebook.com/Tranquifinanzas/,https://www.linkedin.com/company/tranquifinanzas/,,,,,"Tranqui was born from the idea that financial planning should be accessible to all , without being forced to buy a product, regardless of the interest of financial institutions, without the technicalities or prices of the financial industry.",,,,,,,,,,,,,,Financial Services,3,"Andres Vasquez, Jorge Gallego, Juan Camilo González Trujillo",01-Oct,2,Seed,19/08/2019,150000,USD,150000,Seed,150000,USD,150000,Seed,150000,USD,150000,150000,USD,150000,"500 Startups, Y Combinator",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,116",53,,,19,,,,,,,,,Colombia,Cali,Valle del Cauca,0
LoQueNecesito.co,https://www.crunchbase.com/organization/loquenecesito-co,"Commercial Real Estate, FinTech, Real Estate","Bogotá, Distrito Especial, Colombia",Best mortgage credit and online housing for all low and middle class Latin Americans,"47,534",Latin America,,Active,01/01/2017,day,,,,,For Profit,https://loquenecesito.co/,,https://www.facebook.com/LoQueNecesito.Co/,https://www.linkedin.com/company/loquenecesito-co/,andres.perez@loquenecesito.co,5.73175E+11,6,,"committed to delivering the best mortgage credit experience and home buying to middle and lower class Latin Americans, through a digital process, big data, maching learning and online offers.",,,,,,,,,,,,,,"Financial Services, Real Estate",1,Andrés Pérez Vargas,Nov-50,2,Seed,30/08/2019,700000,USD,700000,Pre-Seed,700000,USD,700000,Pre-Seed,910000,USD,910000,910000,USD,910000,"500 Startups, Angel Ventures Peru",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,279",43,,,20,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
Credivalores-Crediservicios,https://www.crunchbase.com/organization/credivalores-crediservicios,"Credit, Finance, Financial Services, FinTech","Bogotá, Distrito Especial, Colombia","Credivalores-Crediservicios, S.A.S. provides consumer loans in Colombia","47,641",Latin America,$1B to $10B,Active,01/01/2003,year,,,,,For Profit,https://www.credivalores.com.co,https://www.twitter.com/credivaloresco,https://www.facebook.com/credivaloressas,https://www.linkedin.com/company/3991844,servicioalcliente@credivalores.com,,,,"Based in Bogota, Colombia, Credivalores-Crediservicios is a non-banking financial company that provides consumer loans for individuals and small companies. The company also focuses on payroll-deduction loans and consumer lending collected through public utility bills as well as discount of checks and financing of insurance policies to low and middle income individuals. The independent consumer finance company uses its funding received from Gramercy Funds Management to upgrade the company’s entire technology platform combined with various initiatives. Founded in 2003, Credivalores-Crediservicios offers its services to clients in Colombia, Mexico, and the United States.",,,,,,,,,,,,,,"Financial Services, Lending and Investments",1,David Seinjet,10001+,2,,29/09/2014,34000000,USD,34000000,Venture - Series Unknown,34000000,USD,34000000,Venture - Series Unknown,34000000,USD,34000000,34000000,USD,34000000,"ACON Investment, Gramercy Funds Management",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"49,391",25,5,"8,641",16,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
