,Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Country,City,State,isInTop100
120,trii,https://www.crunchbase.com/organization/trii,FinTech,"Bogotá, Distrito Especial, Colombia",trii is the first stock trading app in Colombia,"76,394",Latin America,,Active,2019-03-07,day,,,,,For Profit,https://trii.co,https://twitter.com/somostrii,https://web.facebook.com/somostrii/,https://www.linkedin.com/company/somostrii/,esteban@trii.co,+573118481833,,,trii partnered with prominent financial institutions to develop Colombia's first trading app.,,,,,,,,,,,,,,Financial Services,3.0,"Carlos Guayara, Esteban Peñaloza, Luis Patt",11-50,2.0,Seed,2019-12-10,200000,USD,200000.0,Pre-Seed,200000.0,USD,200000.0,Pre-Seed,250000.0,USD,250000.0,250000.0,USD,250000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"79,414",12.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
121,AllFreed,https://www.crunchbase.com/organization/allfreed,"Apps, E-Commerce, Retail","Medellín, Antioquia, Colombia",Todos tus privilegios en un solo sitio,"77,461",Latin America,,Active,2012-01-01,year,,,,,For Profit,http://www.allfreed.co/,http://twitter.com/allfreed_App,http://www.facebook.com/pages/Allfreed/546698845354068,,,,,,"AllFreed es una aplicación móvil que agrupa todos los puntos, millas en beneficios y descuentos de tus marcas preferidas en un solo lugar.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Software",2.0,"Jorge Torres, Juan Alejandro",1-10,1.0,Seed,2013-06-01,91000000,COP,47784.0,Seed,91000000.0,COP,47784.0,Seed,91000000.0,COP,47784.0,91000000.0,COP,47784.0,Wayra,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"80,536",7.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
122,Kiosco,https://www.crunchbase.com/organization/kiosco,,"Mosquera, Cundinamarca, Colombia",Plataforma líder de Cundinamarca para domicilios en Supermercados y Restaurantes a un solo clic!,"77,728",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://www.kiosco.co,,https://www.facebook.com/kiosco.co,https://www.linkedin.com/company/kiosco-co/,jean.osorio@kiosco.co,,,,,,,,,,,,,,,,,,,1.0,Jean Paul Osorio,11-50,2.0,Seed,2020-05-04,400000,USD,400000.0,Seed,400000.0,USD,400000.0,Seed,600000.0,USD,600000.0,600000.0,USD,600000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"80,820",11.0,,,,,,,,,,,,Colombia,Mosquera,Cundinamarca,0
123,Tourbitz,https://www.crunchbase.com/organization/tourbitz,"SaaS, Software, Tourism, Travel","Bogotá, Distrito Especial, Colombia",Tourbitz is a booking and distribution system of tours and activities.,"79,232",Latin America,,Active,2018-03-07,day,,,,,For Profit,https://app.tourbitz.com/signup,,https://www.facebook.com/tourbitz/,https://www.linkedin.com/company/tourbitz/,eduardo@tourbitz.com,+57 3173802917,,,"Tourbitz is a Software as a Service (SaaS) for tour operators that helps them by providing them with tools to be more efficient and scale their business easily. Tourbitz provides them with a platform where they can upload their inventory and supplier's list, a booking system, and an API that helps them to connect directly to their website or to the leading travel agencies worldwide.",,,,,,,,,,,,,,"Software, Travel and Tourism",1.0,Eduardo Maldonado,1-10,2.0,Seed,2019-05-22,60000,USD,60000.0,Pre-Seed,60000.0,USD,60000.0,Pre-Seed,60000.0,USD,60000.0,140000.0,USD,140000.0,"500 Startups, Kiwi.com Ventures s.r.o., Camilo Jimenez",,3.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,410",23.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
124,Ecociclus,https://www.crunchbase.com/organization/ecociclus,"Auctions, Recycling, Waste Management","Bogotá, Distrito Especial, Colombia",Ecociclus is headquartered in Colombia.,"79,311",Latin America,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://www.ecociclus.com/,http://twitter.com/Ecociclus,http://www.facebook.com/ecociclus,http://www.linkedin.com/company/ecociclus,simonramon@ecociclus.com,+57 312 4293579,,,"Ecociclus is the virtual waste market that allows companies, as generators of recyclable waste, potentially recyclable and non-recyclable waste or Buying raw materials; identify within a virtual auction market, the most competitive alternative marketing, sale, management or disposal of waste and waste materials that could be incorporated into production processes.  Ecociclus waste is the marketplace for enterprises to find competitive and responsible buyers / users, sellers and disposal services for waste: every possible solution for net, net net Potentially and not waste.",,,,,,,,,,,,,,"Commerce and Shopping, Sustainability",3.0,"Fabio Ramon, Juan Delgado, Ramon Simon",1-10,2.0,Seed,2014-06-01,40000,USD,40000.0,Seed,40000.0,USD,40000.0,Seed,87950.0,USD,87950.0,87950.0,USD,87950.0,"Wayra, Start-Up Chile",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,496",20.0,,,11.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
125,NIPU,https://www.crunchbase.com/organization/nipu,,"Medellín, Antioquia, Colombia",NIPU is a virtual coach that guides in understanding and choosing what to study in the tech world.,"79,315",Latin America,,Active,2016-01-01,year,2020-01-01,day,,,For Profit,https://nipu.co/,,https://www.facebook.com/nipuai/,https://www.linkedin.com/company/nipuai/,,,1,,"Nipu is a virtual coach that guides in understanding and choosing what to study in the tech world. Nipu can help in starting a professional career in tech, improve skills in order to be hired quickly, and expand tech knowledge.  Nipu was founded in 2016 and is headquartered in Medellin, Colombia.",,,,,,,,,,,,,,,2.0,"Maribel Corrales, Samuel Urquijo",1-10,1.0,M&A,2019-01-22,300000,USD,300000.0,Seed,300000.0,USD,300000.0,Seed,300000.0,USD,300000.0,300000.0,USD,300000.0,COLABORATIVOx,1.0,1.0,,Was Acquired,NIPU acquired by Keybe,https://www.crunchbase.com/acquisition/keybe-acquires-nipu--fa50004d,Keybe,https://www.crunchbase.com/organization/keybe,2020-01-01,day,,,,Acquisition,Cash & Stock,Private,,,,,,,,,,,,,,,"82,501",22.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
126,Deleyes,https://www.crunchbase.com/organization/deleyes,"Consulting, Information Technology, Legal, Legal Tech, Software","Bogotá, Distrito Especial, Colombia",Deleyes provides automated legal services.,"79,524",Latin America,,Active,2017-08-02,day,,,,,For Profit,https://www.deleyes.com/,https://twitter.com/deleyesonline,https://www.facebook.com/deleyesonline/,https://www.linkedin.com/company/deleyes/,administrador@deleyes.com,+57 1 5086191,,,The first and only technology-based legal partner of individuals and companies in Colombia,,,,,,,,,,,,,,"Information Technology, Professional Services, Software",1.0,Cristhian Fresen,11-50,1.0,Seed,2017-10-02,1000000,USD,1000000.0,Seed,1000000.0,USD,1000000.0,Seed,1000000.0,USD,1000000.0,1000000.0,USD,1000000.0,"InQlab, Other Corporate Investors",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,724",50.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
127,Bazurto,https://www.crunchbase.com/organization/bazurto,"E-Commerce, Food and Beverage, Logistics, Software","Cartagena, Bolivar, Colombia","Marketplace, E-commerce, Mobile App, Payments, legal documents.","79,604",Latin America,,Active,2019-11-13,day,,,,,For Profit,http://bazurto.com.co,,,,bazurtonline@gmail.com,,,,Bazurto is a B2B marketplace for farmers and  buyers.,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Software, Transportation",,,1-10,2.0,Seed,2020-08-01,15000,USD,15000.0,Pre-Seed,15000.0,USD,15000.0,Pre-Seed,55000.0,USD,55000.0,55000.0,USD,55000.0,Apps.co,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"82,807",32.0,,,,,,,,,,,,Colombia,Cartagena,Bolivar,0
128,Pina Media,https://www.crunchbase.com/organization/pina-media-inc,"Advertising, Email Marketing, Internet, SEO, Social Media Marketing","Medellín, Antioquia, Colombia",Pina Media provides its clients with effective and measurable digital advertising solutions.,"80,061",Latin America,,Active,2015-01-01,year,,,,,For Profit,http://pinamediainc.com/,https://twitter.com/pina_media,https://www.facebook.com/pinamediainc/,https://www.linkedin.com/company/pina-media-inc/,info@pinamediainc.com,,,,"Pina Media provides its clients with effective and measurable digital advertising solutions. It is a next-generation performance-based marketing company. They leverage their exclusive offers and seasoned expertise. Pina Media expands advertisers' targeted global reach, maximizing return on investment for advertisers and publishers. Pina Media continually paves the way for effective online performance-based marketing, developing lucrative marketing strategies for media buys and search engine management for some of the most recognizable brands worldwide. Adapting strategies to meet each client's individual needs. Pina Media was founded in 2015 and is headquartered in Medellín, Colombia.",,,,,,,,,,,,,,"Advertising, Internet Services, Sales and Marketing",,,1-10,1.0,Seed,2015-02-04,5000000,USD,5000000.0,Seed,5000000.0,USD,5000000.0,Seed,5000000.0,USD,5000000.0,5000000.0,USD,5000000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"83,295",11.0,,,,,,,,,,,,Colombia,Medellín,Antioquia,0
129,2Transfair,https://www.crunchbase.com/organization/2transfair,"Consumer, Financial Services, FinTech, Payments","Bogotá, Distrito Especial, Colombia",2Transfair is a global transactional network allowing people to send money anywhere in the world.,"82,081",Latin America,Less than $1M,Active,2017-01-01,year,,,,,For Profit,http://2transfair.com/,https://twitter.com/2transfair,https://www.facebook.com/2transfairlatam/,https://www.linkedin.com/company/2transfair/,hello@2transfair.com,+57 300 8025095,,,2Transfair is a global transactional network allowing people to send money anywhere in the world. It is made up of business professionals with +10 years of experience in electronic transaction processing and +35 in the traditional financial sector.,,,,,,,,,,,,,,"Financial Services, Other, Payments",1.0,Alvaro Barrios Páez,1-10,1.0,Seed,2018-05-04,40000,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,Pre-Seed,40000.0,USD,40000.0,40000.0,USD,40000.0,Start-Up Chile,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"85,448",63.0,,,22.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
130,Espacios Digitales IoT,https://www.crunchbase.com/organization/espacios-digitales-iot,"Banking, Internet of Things, Logistics, Retail, Retail Technology, Software","Bogotá, Distrito Especial, Colombia","Enterprise IoT Platform. We quickly connect things to the internet, by using our IoT technology, to optimize corporate processes.","82,336",Latin America,,Active,2017-10-01,day,,,,,For Profit,http://espaciosdigitales.co,,,https://www.linkedin.com/company/espacios-digitales-iot/,info@espaciosdigitales.co,,5,,"We quickly connect things to the internet, by using our technology which we customize on each use case, to optimize corporate processes. We connect things for business.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Software, Transportation",3.0,"Felipe Rueda, Guillermo Andres Hernandez, Nicolas Monroy",1-10,1.0,Seed,2019-08-11,150000,USD,150000.0,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,"Wayra, DMZ",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"85,714",43.0,,,12.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
131,ComparaMejor.com,https://www.crunchbase.com/organization/comparamejor-com,"Financial Services, Insurance, Internet, Price Comparison","Bogotá, Distrito Especial, Colombia",ComparaMejor.com is an independent comparison website specialized in financial products and insurance policies.,"82,891",Latin America,$1M to $10M,Active,2011-01-01,year,,,,,For Profit,https://www.comparamejor.com,https://www.twitter.com/comparamejor,https://www.facebook.com/comparamejor,https://www.linkedin.com/company/comparamejor,soporte@comparamejor.com,+57 7561234,,,"ComparaMejor.com is an independent comparison website specialized in financial products and insurance policies. As an online insurance broker, the platform enables its users to get a quote in real-time and buy their policy in minutes. ComparaMejor.com has commercial agreements with 14 insurance companies and a call center to provide advice over the phone. It is based in Bogotá, Distrito Especial.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services",2.0,"Erick Brimen, Fernando Sucre Schnell",51-100,2.0,Seed,2012-12-01,635000,USD,635000.0,Angel,635000.0,USD,635000.0,Angel,815000.0,USD,815000.0,815000.0,USD,815000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"86,298",38.0,,,23.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
132,ASH Capital,https://www.crunchbase.com/organization/ash-capital,"Finance, Financial Services, FinTech, Hedge Funds","Barranquilla, Atlantico, Colombia","We build quantitative trading systems, with extraordinary returns in different financial markets.","83,273",Latin America,,Active,2016-01-01,year,,,,,For Profit,http://ashcapital.co,https://twitter.com/ash_capital?lang=es,,https://www.linkedin.com/company/ashcapitalco/,info@ashcapital.co,6464010212,,,"We build quantitative trading systems, with extraordinary returns in different financial markets. We use science to determine profitable movements in the market and build systems that generate returns over time. We are a company with social conscience, human beings have a greater task than building capital and we are sure that machines can do better, while we take care of people",,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,1-10,1.0,Seed,2016-01-20,180000,USD,180000.0,Pre-Seed,180000.0,USD,180000.0,Pre-Seed,180000.0,USD,180000.0,180000.0,USD,180000.0,Cesar Agudelo,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"86,702",12.0,,,,,,,,,,,,Colombia,Barranquilla,Atlantico,0
133,StartOp,https://www.crunchbase.com/organization/startop,"CRM, Enterprise Resource Planning (ERP), Information Technology, SaaS, Software","Bogotá, Distrito Especial, Colombia",Cloud CRM+ERP SaaS for SME's in Latin America.,"84,488",Latin America,,Active,2018-03-14,day,,,,,For Profit,https://www.startop.co,,https://www.facebook.com/startopco/,https://www.linkedin.com/company/startop-co/,info@startop.co,+573017229481,1,,We help Small and Medium Businesses grow and thrive in Latin America by providing the platform they need to digitalize and integrate their company's information and teams. Our Cloud Software as a Service merges CRM and ERP technologies to make sure information flows seamlessly across the organization.,,,,,,,,,,,,,,"Information Technology, Sales and Marketing, Software",3.0,"David Aponte, Santiago Garzón Muñoz, Santiago Rojas Montoya",1-10,1.0,Seed,2018-07-31,85000,USD,85000.0,Pre-Seed,85000.0,USD,85000.0,Pre-Seed,85000.0,USD,85000.0,85000.0,USD,85000.0,Carlos Fernández de la pradilla,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"87,994",30.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
134,ArmaTuVaca,https://www.crunchbase.com/organization/armatuvaca-wenjoy,"E-Commerce Platforms, FinTech, Payments","Bogotá, Distrito Especial, Colombia",ArmaTuVaca  is a social payments ecosystem that offers money pooling and digital payments.,"84,869",Latin America,,Active,2016-01-01,year,,,,,For Profit,https://armatuvaca.com/,,https://www.facebook.com/armatuvaca/?ref=bookmarks,https://www.linkedin.com/company/arma-tu-vaca/,contacto@armatuvaca.com,+573196316557,,,"ArmaTuVaca is a social payments ecosystem that offers money pooling and digital payments. The company's solution allows people to do Online Money-Pooling for every kind of event in a reliable, easy, and secure way.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Internet Services, Payments",2.0,"Camilo Ruiz, Pedro Gaviria",1-10,1.0,Seed,2016-02-01,185000,USD,185000.0,Seed,185000.0,USD,185000.0,Seed,185000.0,USD,185000.0,185000.0,USD,185000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"88,396",47.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
135,Ropeo,https://www.crunchbase.com/organization/ropeo,"Consumer Goods, E-Commerce, Fashion","Bogotá, Distrito Especial, Colombia",Ropeo is an e-commerce company that offers apparel and fashion to the Latin American market.,"86,719",Latin America,,Active,2017-01-01,year,,,,,For Profit,http://moda.ropeo.co/,,https://www.facebook.com/ropeocolombia/,https://www.linkedin.com/company/ropeo/,,+57 316 6254823,2,,"Ropeo is an e-commerce company that offers apparel and fashion to the Latin American market. The company offers a solution, the Try-Before-You-Buy on demand clothes delivery with all mayor brands. In other words, the company take the best of both worlds (e-commerce and brick & mortar stores) to deliver an awesome buying experience. Moreover, they do all this without managing inventories as we sell the clothes available at the stores.",,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",3.0,"Alejandro Casas Caro, Luis Huertas, Santiago Gomez Gonzalez",1-10,1.0,Seed,2018-01-04,120000,USD,120000.0,Pre-Seed,120000.0,USD,120000.0,Pre-Seed,120000.0,USD,120000.0,120000.0,USD,120000.0,Y Combinator,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"90,344",19.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
136,Ormigga,https://www.crunchbase.com/organization/ormigga,"Machine Learning, Marketing, Procurement, SaaS, Supply Chain Management","Bogotá, Distrito Especial, Colombia",A lean procurement outsourcing service enabled by machine learning and gamification,"88,253",Latin America,Less than $1M,Active,2017-02-01,day,,,,,For Profit,https://www.ormigga.com,https://twitter.com/OrmiggaC,https://www.facebook.com/ORMIGGACOM,https://www.linkedin.com/company/ormigga/,gerardo@ormigga.com,2134715403,,,"A lean procurement outsourcing service enabled by technology and machine learning, which disrupts the most important links in the procurement chain, so its affordable for every company to: Reduce Man hours (91%), Reduce Contract Costs (+20%), Reduce Supplier Risk (48%). Why we can do it? An algorithm (HUALI) categorizes and intelligently rates thousands of Ormigga and existing client's suppliers in order to: Reduce time spent by client during quote request process; Increase probability of finding the best fit (best price, quality, timeline, reliability, payment terms) by consulting with more than 1,200 suppliers; Receive quotes faster than ever; With less operational costs (because of technology) Ormigga is feasible for SMB’s.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Sales and Marketing, Software, Transportation",1.0,Gerardo Mendez,11-50,1.0,Seed,2018-06-01,150000,USD,150000.0,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,Quake Capital Partners,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"91,961",50.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
137,Vendty,https://www.crunchbase.com/organization/vendty,"E-Commerce, Point of Sale, Restaurants","Bogotá, Distrito Especial, Colombia","Vendty is a cloud-based POS system for retail stores and restaurants, with integrated ecommerce","88,906",Latin America,$1M to $10M,Active,2015-05-15,day,,,,,For Profit,https://vendty.com,https://www.twitter.com/vendtyapps,https://www.facebook.com/vendtycom,,info@vendty.com,+57 (319) 4751398,6,,,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",,,1-10,1.0,,2015-06-15,50000,USD,50000.0,Convertible Note,,,,,,,,50000.0,USD,50000.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"92,657",24.0,,,28.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
138,VincuVentas,https://www.crunchbase.com/organization/vincuventas,"Analytics, Artificial Intelligence, Big Data, Commercial, CRM, Human Resources, Information Technology, Recruiting, Staffing Agency","Bogotá, Distrito Especial, Colombia",Using data-driven matching to revolutionize recruitment in Latin America.,"88,983",Latin America,,Active,2014-01-01,year,,,,,For Profit,http://vincuventas.com/,https://twitter.com/vincuventas,https://www.facebook.com/vincuventas.bogota,https://www.linkedin.com/company/vincuventas,trabajos@vincuventas.com,(031)508-8448,,,"VincuVentas' platform disrupts recruitment in emerging markets through the use of data & algorithms. Our algorithm NEXO finds top matches and invites them to apply, delivering candidates that are interesting & interested. NEXO currently delivers 30 highly matched profiles per position, increasing acceptance rate from <5% to 35%.",,,,,,,,,,,,,,"Administrative Services, Artificial Intelligence, Data and Analytics, Information Technology, Other, Professional Services, Sales and Marketing, Science and Engineering, Software",5.0,"Bart Verschoor, Carolina Medina, Nicolás Gómez, Pedro Olarte, Victor Baumann",11-50,5.0,Seed,2019-03-01,330000,USD,330000.0,Seed,330000.0,USD,330000.0,Seed,1241000.0,USD,1241000.0,1241000.0,USD,1241000.0,"Polymath Ventures, INVX",1.0,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"92,736",19.0,,,10.0,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
139,Frank de Paula,https://www.crunchbase.com/organization/frank-de-paula,"Coffee, Consumer Electronics, Electronics","Bogotá, Distrito Especial, Colombia",Frank de Paula offers an easier way to make better Coffee through its product FrankOne.,"89,639",Latin America,,Active,2019-01-31,day,,,,,For Profit,https://www.frankdepaula.com/,,https://www.facebook.com/depaulafrank,,frank@frankdepaula.com,,1,,"Frank de Paula offers an easier way to make better Coffee through its product, FrankOne. FrankOne is a one-touch specialty coffee brewer using a patented Vacuum Extraction Technology. The idea to develop FrankOne originated deep in the Andean mountains of Colombia, in the city of Bogotá, when young engineer Eduardo Umaña met coffee-veteran Luis Fernando Vélez, founder of the largest specialty coffee roaster in Colombia: Amor Perfecto.  ​ Since the day the idea was born over a casual encounter in one of Amor Perfecto's locations in Bogotá, Luis Fernando and Eduardo have tirelessly worked to develop a superior extraction method–the first one developed in the country where the finest Coffee in the world grows, Colombia.",,,,,,,,,,,,,,"Consumer Electronics, Food and Beverage, Hardware",1.0,Eduardo Umaña,1-10,1.0,,2019-10-17,166534,USD,166534.0,Equity Crowdfunding,166534.0,USD,166534.0,Equity Crowdfunding,166534.0,USD,166534.0,166534.0,USD,166534.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"93,421",10.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
140,Kindery,https://www.crunchbase.com/organization/kindery,"Apps, Comics, Education","Garzón, Huila, Colombia",Teaching the kids first reading skills.,"89,738",Latin America,$1M to $10M,Active,2013-04-24,day,,,,,For Profit,http://www.kindery.co,http://twitter.com/KinderyApp,http://www.facebook.com/kindery.co,,info@kindery.co,,1,,"Reading Kindery stories to young children is one of the best activities for stimulating language as well as building motivation, curiosity and memory.",,,,,,,,,,,,,,"Apps, Consumer Goods, Education, Software",3.0,"Cristian C. Baracaldo, Jessica Peña Torres, Juan Salcedo",1-10,2.0,,2014-07-01,90000000,COP,48078.0,Grant,,,,,,,,85686.0,USD,85686.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"93,525",10.0,,,12.0,,,,,,,,,Colombia,Garzón,Huila,0
141,Enmedio,https://www.crunchbase.com/organization/enmedio,"Broadcasting, Communications Infrastructure, Digital Media, Social Media, Telecommunications","Bogotá, Distrito Especial, Colombia",Enmedio offers digital media communication services.,"89,806",Latin America,$10M to $50M,Active,2006-01-01,year,,,,,For Profit,http://www.enmedio.com.co/,https://twitter.com/enmediosas,https://www.facebook.com/enmedio,https://www.linkedin.com/company/enmedio-s.a/,info@enmedio.com.co,(571)211-7350,,,"Enmedio offers digital media communication services. Founded in 2006, Enmedio has been the pioneer and today the leader in the Digital Signage industry in Colombia. With operations and offices in Bogotá, Medellín, Cali, Barranquilla, and Bucaramanga, to date Enmedio manages more than 3,500 screens installed in 1,200 locations in 45 municipalities of Colombia. The company offers innovative solutions aimed at corporate communication and advertising and digital marketing.",,,,,,,,,,,,,,"Hardware, Internet Services, Media and Entertainment, Video",2.0,"Sebastian Molina, Sebastian Obregon",101-250,1.0,,2015-07-07,4000000,USD,4000000.0,Venture - Series Unknown,4000000.0,USD,4000000.0,Venture - Series Unknown,4000000.0,USD,4000000.0,4000000.0,USD,4000000.0,Axon Partners Group,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"93,595",7.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
142,Contratan.do,https://www.crunchbase.com/organization/contratan-do,"B2B, Search Engine, Software","Bogotá, Distrito Especial, Colombia",Contratan.do develops and operates an online platform,"90,017",Latin America,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://contratan.do/,http://twitter.com/contratando,http://es-la.facebook.com/contratando,http://www.linkedin.com/company/contratan-do,contacto@contratan.do,+57 318 7704246,1,,"Contratan.do develops and operates an online platform, which allows clients and SMEs to publish projects and specific requirements, and permits freelancers to bid for them. The company was founded in 2011 and is based in Colombia.",,,,,,,,,,,,,,"Internet Services, Other, Software",5.0,"Christian Muñoz, James Aponte, Joseph Darnell, Julian Alvarado, Oscar Rodriguez",1-10,1.0,Seed,2013-06-01,91000000,COP,47784.0,Seed,91000000.0,COP,47784.0,Seed,91000000.0,COP,47784.0,91000000.0,COP,47784.0,Wayra,1.0,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"93,827",1.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
143,Fináncialo Mejor,https://www.crunchbase.com/organization/fináncialo-mejor,"E-Commerce, FinTech, Marketplace","Bogotá, Distrito Especial, Colombia",Somos un marketplace en el que personas y entidades financieras podrán encontrar productos de crédito.,"90,250",Latin America,,Active,2018-04-01,month,,,,,For Profit,https://financialomejor.com,,,,info@financialomejor.com,,,,"Somos un marketplace en el que personas y entidades financieras podrán encontrar productos de crédito, mejorando la experiencia de compra para el usuario y facilitando el proceso de venta a las entidades.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services",,,11-50,1.0,Seed,2019-06-01,150000,USD,150000.0,Seed,150000.0,USD,150000.0,Seed,150000.0,USD,150000.0,150000.0,USD,150000.0,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"94,070",14.0,,,,,,,,,,,,Colombia,Bogotá,Distrito Especial,0
