Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method,Index,Organization,Email,Name,Industries_right,Description_right,Founded Date_right,Total Funding Amount_right,Last Funding Date_right,Last Funding Amount_right,Last Funding Amount Currency_right,NIT,NOMBRE EMPRESA,CIIU,EMPRENDEDOR,DEPARTAMENTO,CIUDAD,CORREO ELECTRONICO,TELÉFONO ,Unnamed: 16,Intersección
TERPEL,https://www.crunchbase.com/organization/terpel,"Energy, Industrial, Oil and Gas","Bogotá, Distrito Especial, Colombia",Terpel is a Colombian oil and gas company.,"287,375",Latin America,,Active,1968-03-13,day,,,,,For Profit,https://www.terpel.com/,https://twitter.com/terpelcol,https://www.facebook.com/Terpel/,https://www.linkedin.com/company/terpel,infoterpel@terpel.com,+57 1 3175353,,,"in 1968 Terpel started in Bucaramanga with 20 service stations with the objective of solving the fuel shortage problem in the department of Santander. They develop programs that promote personal and professional growth, and open possibilities to deepen knowledge and acquire new experiences.By means of internal promotion programs, their collaborators can grow in the company and acquire new knowledge in the fields of: fuel operations, commercialization, and supply.They understand the importance of their work to offer their customers memorable experiences.They have clear goals to continuously improve their results.",,,,,,,,,,,,,,"Energy, Manufacturing, Natural Resources",1.0,Melba Mary Lorza Caicedo,1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"307,359",55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAPCO,https://www.crunchbase.com/organization/sapco,"Automotive, Information Technology, Software","Medellín, Antioquia, Colombia",We are a software development company that specializes in creating innovative software for the automotive sector with focus on road safety.,"288,252",Latin America,,Active,2013-11-23,day,,,,,For Profit,http://www.sapco.co,,,,clientesfelices@sapco.co,,4,,We develop software for the automotive sector.,,,,,,,,,,,,,,"Information Technology, Software, Transportation",2.0,"Edgar Mantilla, Sebastian Höfler",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"308,306",32.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTRONIX,https://www.crunchbase.com/organization/ktronix,"E-Commerce, Electronics","Villavicencio, Meta, Colombia",Ktronix is an online store that specializes in technology and electrical appliances.,"289,206",Latin America,,Active,,,,,,,For Profit,https://www.ktronix.com/,https://twitter.com/ktronixcolombia,https://www.facebook.com/ktronix,https://www.linkedin.com/showcase/ktronix,sugerencias@ktronix.com,(031) 364 9734,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"309,344",44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO BERNIER,https://www.crunchbase.com/organization/grupo-bernier,"Artificial Intelligence, Information Technology, Quantum Computing, Software","Bogotá, Distrito Especial, Colombia",Grupo Bernier is a Colombian company focused on consulting in information technologies. Artificial Intelligence & Quantum Computing,"290,265",Latin America,,Active,2014-01-10,day,,,,,For Profit,http://www.berniergroup.com/,https://twitter.com/BernierGrupo,https://www.facebook.com/GrupoBernier,https://www.linkedin.com/company/grupobernier,jean.bernier@berniergroup.com,573102660627,,,"Grupo Bernier is a Colombian company focused on consulting in information technologies. We strengthen the business models of our Clients, strengthen their value proposition and support in creating more competitive environments. Currently, Grupo Bernier specializes in 2 business focuses. 1.  Artificial intelligence services in the cloud.  2. We develop Quantum Algorithms by request. Our personal and business passion is Business Excellence, model that we have created, matured and strengthened by more than 10 years of work and which is an active part of all our actions, which allows us to convert information technologies and artificial intelligence into a real and tangible support and differential for the market and our Clients.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",1.0,Jean Bernier,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1.0,"310,486",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OIGA TECHNOLOGIES,https://www.crunchbase.com/organization/oiga-technologies,"Computer, Software","Medellín, Antioquia, Colombia",Oiga Technologies Iis a Provider of an online platform,"291,141",Latin America,,Active,2018-01-01,year,,,,,For Profit,https://oiga.com/,https://twitter.com/oigasme,https://www.facebook.com/oigatech/,https://www.linkedin.com/company/oiga-technologies/,info@oiga.com,+57 (034) 306 2538,,,"Provider of an online platform intended to analyze the content models and business processes of various clients. The company's online platform analyzes and questions existing business models that result in new products and new streams of revenue, enabling its clients to maintain their competitive advantage in the marketplace using their data analytic services.",,,,,,,,,,,,,,"Consumer Electronics, Hardware, Software",1.0,Michael Puscar,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"311,431",43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFY,https://www.crunchbase.com/organization/profy-9494,"EdTech, Education, Language Learning","Bogotá, Distrito Especial, Colombia",Profy is an online marketplace for language teachers in Latin America,"293,297",Latin America,,Active,2018-09-30,day,,,,,For Profit,https://profy.co,,,,contacto@profy.co,,,,,,,,,,,,,,,,,,"Education, Software",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"313,719",33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINANCASH,https://www.crunchbase.com/organization/financash,"Banking, Financial Services, FinTech","Barranquilla, Atlantico, Colombia",FinanCash  is a financial startup belonging to the fintech sector. ,"294,581",Latin America,,Active,,,,,,,For Profit,https://www.financash.co,https://twitter.com/FinanCash,https://www.facebook.com/financash,https://www.linkedin.com/company/24779614,info@financash.co,(+57) 301 391 0399,,,"FinanCash is a financial startup belonging to the Fintech sector. Their great purpose is to make your day to day much easier. They help you to get access to short-term, free-of-charge microcredits, allowing you to quickly cover your financial unforeseen events, just a click away. Anywhere you are, it's that easy! ",,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"315,084",20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALLISTO NETWORK,https://www.crunchbase.com/organization/callisto-network,Information Technology,"Bogotá, Distrito Especial, Colombia","Callisto's goal is to r&d a reference implementation of sustain, self-governed, self-funded blockchain ecosystem & development environment.","294,593",Latin America,,Active,2018-01-01,day,,,,,,https://callisto.network/,https://twitter.com/CallistoSupport,https://www.facebook.com/callistonetwork,https://www.linkedin.com/company/callisto-network/,yograterol@callisto.network,,,,,,,,,,,,,,,,,,Information Technology,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"315,097",45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMAGINE APPS,https://www.crunchbase.com/organization/imagine-apps-c96d,"Information Technology, Software","Bogotá, Distrito Especial, Colombia",Technology partner for companies and entrepreneurs.,"296,128",Latin America,,Active,2012-11-08,day,,,,,For Profit,http://imagineapps.co,,https://www.facebook.com/imagineappsco/,https://www.linkedin.com/company/imagine-appscol/,,,,,,,,,,,,,,,,,,,"Information Technology, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"316,741",29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILECUBED,https://www.crunchbase.com/organization/filecubed,"Developer Tools, File Sharing","Bogotá, Distrito Especial, Colombia","Filecubed is a web app for Dropbox that helps users organize, share, and showcase their files.","297,414",Latin America,,Closed,2012-01-01,year,,,,none,For Profit,http://www.filecubed.co,http://twitter.com/FileCubed,,,hello@filecubed.co,,,,"Filecubed is a web app for Dropbox to help users organize, share and showcase their files in a beautiful way.",,,,,,,,,,,,,,Software,2.0,"Gabriel Albornoz, Juan Ciga",1-10,1.0,Seed,2012-01-01,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,Seed,50000.0,USD,50000.0,50000.0,USD,50000.0,Wayra,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"318,123",,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCP DYNAMICS,https://www.crunchbase.com/organization/kcp-dynamics,Consulting,"Bogotá, Distrito Especial, Colombia","KCP Dynamics is a company that offers implementation, support and training services in Microsoft Dynamics NAV & Microsoft Dynamics AX.","298,515",Latin America,$10M to $50M,Active,2012-01-01,day,,,,,For Profit,https://www.kcpdynamics.com,https://twitter.com/kcpdynamics?lang=en,https://www.facebook.com/kcpdynamics/,https://www.linkedin.com/company/kcpdynamics-partner-microsoft/,comercial@kcpdynamics.com,57 321 2024859,,,,,,,,,,,,,,,,,Professional Services,,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"319,302",45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUMATEC,https://www.crunchbase.com/organization/sumatec,"Industrial Engineering, Mechanical Engineering","Manizales, Caldas, Colombia","Sumatec specialized in the distribution and supply of technical materials for maintenance, repair and operation in the industry.","298,681",Latin America,,Active,1954-01-01,year,,,,,For Profit,https://sumatec.co,,https://www.facebook.com/SoySumatec/,https://www.linkedin.com/company/sumatec/about/,,,,,"Sumatec specialized in the distribution and supply of technical materials for maintenance, repair and operation in the industry.",,,1.0,1.0,,,,,,,,,,"Manufacturing, Science and Engineering",,,501-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"319,475",39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTELLIGENT TRADING MACHINES,https://www.crunchbase.com/organization/intelligent-trading-machines,"Artificial Intelligence, Asset Management, Machine Learning, Risk Management, SaaS, Wealth Management","Bogotá, Distrito Especial, Colombia","Intelligent Trading Machines is a B2B SaaS Platform, providing Systematic Investment Solutions leveraged on AI & ML.","299,990",Latin America,,Active,2016-08-24,day,,,,,For Profit,http://www.itrmachines.com/,https://twitter.com/itrmachines,,https://www.linkedin.com/company/itrmachines,sebastian.rocha@itrmachines.com,+57 350 3430405,,,"Intelligent Trading Machines (ITRMachines) is a B2B SaaS Platform providing financial institutions with Systematic Investment Solutions powered by artificial intelligence and machine learning. ITRMachines helps Banks, Brokers and Asset Managers achieve higher returns, adjusted to their risk appetite.  ITRMachines' differentiates with a suite of products that enable algorithmic execution capabilities, AI & ML driven investment strategies with high levels of explainability (white-box) and customizable risk management tools. ITRMachines removes the pain of integrating systematic investments for financial institutions, reduces the complexities involved in supervising the risks of systematic strategies and minimizes the time to market of new investment vehicles powered by AI & ML.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",4.0,"Andrés Fonseca, Camilo Alaguna, Santiago Hernandez, Sebastian Rocha",1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"320,875",27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOLLY JOKER,https://www.crunchbase.com/organization/jolly-joker,E-Commerce,"Cali, Valle del Cauca, Colombia","Jolly Joker is an e-commerce company providing custom t-shirts for groups, teams, events and businesses.","300,876",Latin America,$1M to $10M,Active,2010-02-23,day,,,,,For Profit,http://www.jollyjoker.co,https://www.twitter.com/jollyjokerco,https://www.facebook.com/jollyjokerco,,,,,,,,,,,,,,,,,,,,Commerce and Shopping,3.0,"Andres Luna, Cata Rojas, Nico Luna",11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"321,810",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLUB FRUBANA,https://www.crunchbase.com/organization/club-frubana,"Apps, B2B, E-Commerce Platforms, Food and Beverage, Restaurants, Software","Bogotá, Distrito Especial, Colombia","Club Frubana is a hub of tools and resources to help restaurants digitize their menus, websites, and shops for supplies.","301,282",Latin America,,Active,,,,,,,For Profit,https://club.frubana.com/,,,,,,,,"Club Frubana is a hub of tools and resources to help restaurants digitize their menus, websites, and shops for supplies. The tools created ""Virtual Frubana Menus"" to thinking about the fastest and easiest way in which they can share the menu of their restaurant through the generation of a QR code, which they can share with their customers whenever they need it. Their mission is to provide food products for small retailers and restaurants. Club Frubana is based in Bogota, Colombia.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Food and Beverage, Internet Services, Other, Software",1.0,Fabian Gomez Gutierrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"322,238",23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRUPO ARGOS,https://www.crunchbase.com/organization/grupo-argos,"Banking, Building Material, Construction, Crowdfunding, Financial Services, Stock Exchanges","Medellín, Antioquia, Colombia",Grupo Argos is a holding of sustainable investments in infrastructure.,"301,676",Latin America,Less than $1M,Active,1934-01-01,year,,,,,For Profit,https://www.grupoargos.com/en-us/,https://twitter.com/grupo_argos,,https://www.linkedin.com/company/grupo-argos-s.a/,grupoargos@lineatransparencia.com,+57 4 315 -8400,3,,"Grupo Argos is a holding of sustainable investments in infrastructure. Its legal nature corresponds to a corporation, registered in the Stock Exchange of Colombia, as well as its subsidiaries Argos (cement), Celsia (energy) and Odinsa (road and airport concessions). Grupo Argos, the parent company of Grupo Empresarial, has strategic investments in listed companies and private companies, and a solid portfolio of investments. In the Colombian stock market, Grupo Argos is an issuer of ordinary shares, preferred shares and fixed income securities, represented by strategic investors, private investment funds, pension funds, brokerage firms and investors in general (individuals and Interested in participating in the country's securities market.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Real Estate",,,10001+,1.0,Private Equity,2010-01-01,,,,Private Equity,,,,Private Equity,,,,,,,Alta Growth Capital,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"322,669",,,,36.0,0.0,0.0,,Advertising; business,,,,,,,,,,,,,,,,,,,,,,,,,
ELM,https://www.crunchbase.com/organization/elm,"Digital Entertainment, Education, Edutainment, Media and Entertainment, Video, Wellness","Los Angeles, Huila, Colombia","Whatever is stressing you out, Elm will help you de-stress from it.","302,211",Latin America,,Active,2015-10-01,month,,,,,For Profit,http://www.elmexperience.com,https://twitter.com/elmexperience,https://www.facebook.com/elmexperience/,,hello@elmexperience.com,,8,,"Elm is an institutional and consumer wellness platform aimed at improving stress for the largest generation, with the highest buying power—millennials, ages 19-35. Access to reliable and actionable resources to improve stress should be obtainable. Time and money should not limit one’s ability to improve one’s health. At Elm, our mission is to offer a dedicated source, which provides reliable and trustworthy information, taught by the individuals millennials want to learn from, in the medium that millennials consume. Through our platform, we are democratizing wellness for millennials. Elm is committed to taking away the negative stigma and woo that comes with self-help; and changing the way our culture looks at mental wellness. De-stress anywhere, anytime.",,,,,,,,,,,,,,"Education, Health Care, Media and Entertainment, Video",1.0,Elissa O'Dell,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"323,245",8.0,8.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QBCO,https://www.crunchbase.com/organization/qbco,"Consumer Goods, Food and Beverage, Manufacturing","Tuluá, Valle del Cauca, Colombia","QBCo develops, manufactures, and markets consumer products, such as edible oils, margarine, pet food, and preserved and canned goods.","302,384",Latin America,$50M to $100M,Active,1961-01-01,year,,,,,For Profit,http://qbco.com.co/,https://www.twitter.com/es,https://www.facebook.com/es,https://www.linkedin.com/company/qbco/about/,info@qbco.biz,,,,"QBCo develops, manufactures, and markets consumer products, such as edible oils, margarine, pet food, and preserved and canned goods.",,,1.0,1.0,,,,,,,,,,"Consumer Goods, Food and Beverage, Manufacturing",,,51-100,1.0,Private Equity,2017-10-10,,,,Private Equity,,,,Private Equity,,,,,,,Abraaj Group,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"323,429",52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AULAS AMIGAS,https://www.crunchbase.com/organization/aulas-amigas,"Digital Media, EdTech, Education, Edutainment, Media and Entertainment","Medellín, Antioquia, Colombia",Aulas AMiGAS provides affordable educational media solutions for less fortunate students.,"302,491",Latin America,,Active,2004-01-01,year,,,,,For Profit,https://aulasamigas.com/,https://twitter.com/tomidigital,https://www.facebook.com/tomidigital/,https://www.linkedin.com/company/aulas-amigas-/,soporte@tomi.digital,+57 4 4448664,,,"Aulas AMiGAS provides affordable educational media solutions for less fortunate students. It began operation in 2004, with its headquarters in Medellín in Colombia.",,,1.0,1.0,1.0,,,,,,,,,"Education, Media and Entertainment, Software",1.0,Juan Manuel Lopera,251-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"323,538",40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOX TELECOLOMBIA,https://www.crunchbase.com/organization/fox-telecolombia,"Media and Entertainment, TV Production","Bogotá, Distrito Especial, Colombia",Fox Telecolombia is a Colombian television production company.,"303,082",Latin America,,Active,1995-01-01,year,,,,,For Profit,https://foxtelecolombia.com/,https://twitter.com/FoxTelecolombia,https://www.facebook.com/FoxTelecolombia-156682824402915/,https://www.linkedin.com/company/foxtelecolombia/,info@foxtelecolombia.com,(+571) 417 42 00,,,,,,,,,,,,,,,,,"Media and Entertainment, Video",1.0,Bernardo Romero Pereiro,1001-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"324,159",44.0,,,,0.0,1.0,,Education; entertainment,,,,,,,,,,,,,,,,,,,,,,,,,
LYNKS,https://www.crunchbase.com/organization/lynks-ingenieria,"Agriculture, Analytics, CMS, Enterprise Resource Planning (ERP)","Cali, Valle del Cauca, Colombia","Lynks is a company that connects wireless systems and sensors in remote monitoring systems, water management & crop analytics.","303,511",Latin America,,Active,2010-01-01,year,,,,,For Profit,https://lynks.com.co/,https://twitter.com/LynksCO,https://www.facebook.com/LynksCO/,https://www.linkedin.com/company/lynks-ingenieria-sas/,contacto@lynks.com.co,+57- 2-651-51-95,,,,,,,,,,,,,,,,,"Agriculture and Farming, Data and Analytics, Information Technology, Software",,,1-10,1.0,,2015-09-08,,,,Non-equity Assistance,,,,,,,,,,,Valle Impacta,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"324,619",33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEAWARE,https://www.crunchbase.com/organization/ideaware-co,"Consulting, Mobile, Mobile Apps, Software, Software Engineering, Web Development","Barranquilla, Atlantico, Colombia",We help companies start or augment their software teams by hiring from Colombia’s top 5% IT talent pool.,"303,536",Latin America,Less than $1M,Active,2010-08-01,day,,,,,For Profit,http://ideaware.co,http://twitter.com/ideawareco,https://www.facebook.com/ideaware,https://www.linkedin.com/company/ideaware-co,hello@ideaware.co,4157428882,,,"Since 2010, we’ve helped startup founders and fast-growing companies around the world “staff and scale” their software design and engineering teams.  Our sole purpose is to help ensure you have the best talent on your team to accomplish your technology and business requirements. We are located in the country of Colombia which is in the center of the western hemisphere. Our team is focused on hiring in the top 5% of developers and designers in Colombia.  Benefits • Collaboration: Partners have full visibility throughout the candidate selection process and collaborate with the Ideaware recruitment team to interview and secure the best talent. • Allocation:  Your hand selected team is 100% fully dedicated to you. • Managed operation: Ideaware provides the operational support and facilities for your team to do their best work. • Working Hours:  The Ideaware teams work within the EST (GMT-5) to PST (GMT-8) time zones to ensure overlap with your workday across North America. • Proximity:  The Ideaware office is only a 2 hour flight from Miami, or 5 from Dallas. • Transparent costs: Flat monthly rates and no hidden fees. • Cost savings: Potential savings of up to 60% of the costs from hiring a US-based team. • Culture: We encourage our partners to embrace the software design and engineering teams as their own. These teams will feel like a seamless extension of your company. Scale & Skill Here are some examples of the various technologies that teams from Ideaware have expertise: • Swift • Kotlin • React • Node.js • Go • Python • Cloud infrastructure • DevOps",,,,,,,,,,,,,,"Apps, Mobile, Professional Services, Science and Engineering, Software",,,51-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"324,644",57.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVINFORMACIÓN,https://www.crunchbase.com/organization/servinformación,"Cloud Data Services, Consulting, Location Based Services","Bogotá, Distrito Especial, Colombia","Servinformación offers geographic information systems development, consulting, and cloud data services.","303,992",Latin America,,Active,2000-01-01,day,,,,,For Profit,https://servinformacion.com/,https://www.twitter.com/servinformacion,https://www.facebook.com/servinformacion/,https://www.linkedin.com/company/servinformacion/,servicliente@servinformacion.com,+ (57 1) 2562030,,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Navigation and Mapping, Professional Services",,,101-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"325,136",23.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOPROCOL,https://www.crunchbase.com/organization/bioprocol,"Biotechnology, Cosmetics, Health Care, Pharmaceutical","Envigado, Antioquia, Colombia",Bioprocol makes natural materials from plants used for developing pharmaceutical and cosmetic products.,"304,647",Latin America,,Active,2004-01-01,year,,,,,For Profit,http://bioprocol.com/,https://twitter.com/bioprocol,,https://www.linkedin.com/company/bioprocol--biodiverse-chemistry-/,contact@bioprocol.com,,,,"Bioprocol makes natural materials from plants obtained ethically from the sustainable use of Colombian biodiversity, using scientifically validated methods. These materials are used for the development of pharmaceutical and cosmetic products. Bioprocol was founded in 2004.",,,,,,,,,,,,,,"Biotechnology, Consumer Goods, Health Care, Science and Engineering",1.0,German Schäfer,1-10,1.0,Seed,2019-09-13,,,,Seed,,,,Seed,,,,,,,"SOSV, RebelBio",,2.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"325,833",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUKTAL,https://www.crunchbase.com/organization/fruktal,"Food and Beverage, Food Delivery, Fruit, Retail, Wholesale","Cali, Valle del Cauca, Colombia",Fruktal is an online retailer that offers the sales and distribution channels of fruits and vegetables.,"306,700",Latin America,,Active,2019-01-01,year,,,,,For Profit,https://fruktal.com/,,https://www.facebook.com/fruktal.co/,https://www.linkedin.com/company/manjares-del-campo-fruktal/,info@fruktal.com,+57-320 767 6828,,,,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage, Transportation",,,11-50,1.0,,2020-02-24,,,,Non-equity Assistance,,,,,,,,,,,Acelera Región,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"328,021",52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIUDADDEMASCOTAS.COM,https://www.crunchbase.com/organization/ciudad-de-mascotas,"E-Commerce, Pet","Bogotá, Distrito Especial, Colombia",Colombia's largest provider of pet food and supplies,"306,853",Latin America,$1M to $10M,Active,2012-08-25,day,,,,,For Profit,http://www.ciudaddemascotas.com/,https://twitter.com/ciudaddm,https://www.facebook.com/ciudadmascotas,https://www.linkedin.com/company/ciudaddemascotas-com,gerencia@ciudaddemascotas.com,(571) 745-5455,3,,"Ciudaddemascotas.com (or CdM) is a pet ecommerce that differs from any other of its kind focusing on recurrency, specialized customer experience and product development. With a highly differentiated customer experience, a professional Veterinarians and Zootechnicians contact center advice pet owners in product advice, converting them in loyal customers.",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle",2.0,"Hector Acuna, Juan Martinez",11-50,1.0,Seed,2014-08-01,,,,Seed,,,,Seed,,,,,,,Velum Inverlink,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"328,187",51.0,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTROLT,https://www.crunchbase.com/organization/controlt,SaaS,"Medellín, Antioquia, Colombia",ControlT is a web tower control for the traceability and control of logistics and transport operations. The service is offered by SaaS model,"308,410",Latin America,,Active,2012-01-02,day,,,,,For Profit,https://controlt.com.co/,,,https://www.linkedin.com/company/22258546,sales@controlt.com.co,+573116125094,,,"ControlT is a 100% innovative web platform that uses high technology for the traceability and control of logistics and transport operations, such as, Big Data, IoT, Machine Learning and Artificial Intelligence. The service is offered by SaaS model and consists in a monthly payment according to the use of the platform.",,,,,,,,,,,,,,Software,,,11-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"329,857",32.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLIPCO,https://www.crunchbase.com/organization/vlipco,"Financial Services, Payments","Bogotá, Distrito Especial, Colombia",Vlipco provides payment experiences and products for the financial sector.,"308,463",Latin America,,Active,2014-01-01,day,,,,,For Profit,https://www.vlipco.com/,https://twitter.com/vlipco,,https://www.linkedin.com/company/vlipco/,,,,,,,,,,,,,,,,,,,"Financial Services, Payments",,,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"329,912",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMART COMMERCE,https://www.crunchbase.com/organization/smartcommerceinc,"Business Development, CMS, Enterprise Resource Planning (ERP), Internet of Things, Mobile","Cali, Valle del Cauca, Colombia",Smart Commerce integrates the Internet of Things into our clients' business models through a web and mobile platform.,"309,197",Latin America,,Active,2016-01-01,year,,,,,For Profit,https://www.smartcommerceinc.com/,https://twitter.com/smartcommercein,https://www.facebook.com/smartcommerceinc/,https://www.linkedin.com/company/smartcommerceinc/,info@smartcommerceinc.com,+57 314 891 1237,,,,,,,,,,,,,,,,,"Information Technology, Internet Services, Mobile, Professional Services, Software",,,11-50,1.0,,2020-02-24,,,,Non-equity Assistance,,,,,,,,,,,Acelera Región,,1.0,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"330,689",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
